entry_bar,exit_bar,entry_time,exit_time,side,pnl
80522,80526,2017-06-26T08:25,2017-06-26T08:45,-1,-338.44499999999243
80699,80711,2017-06-29T08:55,2017-06-29T09:55,-1,-533.2200000000012
80816,80886,2017-07-03T09:10,2017-07-04T10:15,-1,-386.3000000000029
80920,81037,2017-07-05T08:25,2017-07-07T08:40,-1,-509.1399999999994
81091,81205,2017-07-10T08:25,2017-07-12T08:25,-1,-157.8399999999965
81376,81512,2017-07-17T08:25,2017-07-19T10:15,1,-65.44000000000233
81604,81717,2017-07-21T08:25,2017-07-24T13:05,1,-404.1600000000035
81946,82197,2017-07-31T08:25,2017-08-04T10:20,1,807.3600000000006
82288,82317,2017-08-08T08:25,2017-08-08T10:50,1,-317.679999999993
82345,82516,2017-08-09T08:25,2017-08-14T08:25,1,-51.020000000004075
83143,83200,2017-08-29T08:25,2017-08-30T08:25,1,205.10000000000582
83371,83539,2017-09-04T08:25,2017-09-06T13:00,1,-458.5
83582,83629,2017-09-07T11:50,2017-09-08T11:00,1,-481.8600000000006
83714,84271,2017-09-12T08:35,2017-09-25T12:15,-1,2311.520000000004
84303,84624,2017-09-26T10:10,2017-10-04T08:25,-1,-63.86000000000058
84754,84780,2017-10-06T09:45,2017-10-06T11:55,-1,-617.5500000000029
84852,85137,2017-10-10T08:25,2017-10-17T08:25,1,241.36999999999534
85369,85544,2017-10-23T08:45,2017-10-26T09:05,-1,-698.1499999999942
85647,85764,2017-10-27T12:55,2017-11-01T08:25,-1,-1107.0
85765,85877,2017-11-01T08:30,2017-11-02T13:05,1,-301.58000000000175
86106,86282,2017-11-09T08:25,2017-11-14T08:50,1,-578.8000000000029
86458,86508,2017-11-17T09:15,2017-11-20T08:40,1,-246.77999999999884
86561,86579,2017-11-20T13:05,2017-11-21T09:50,-1,-733.2599999999948
86846,86939,2017-11-28T08:25,2017-11-29T11:25,1,-629.4400000000023
87109,87530,2017-12-04T11:20,2017-12-14T08:25,-1,1991.320000000007
87718,88990,2017-12-19T09:50,2018-01-22T11:25,1,4141.899999999994
89068,89191,2018-01-24T08:25,2018-01-26T09:10,1,-371.1000000000058
89489,89856,2018-02-02T10:15,2018-02-12T12:20,-1,904.7900000000081
89980,90204,2018-02-15T08:25,2018-02-20T12:55,1,-189.05999999999767
90464,90614,2018-02-27T10:50,2018-03-02T09:05,-1,792.3099999999977
90802,90914,2018-03-07T10:30,2018-03-09T10:20,-1,-315.75999999999476
91208,91405,2018-03-16T11:05,2018-03-22T08:30,-1,-607.9599999999919
91637,91746,2018-03-28T08:50,2018-04-02T08:25,-1,461.0
91803,92031,2018-04-03T08:25,2018-04-09T08:25,-1,259.3000000000029
92772,93060,2018-04-26T08:25,2018-05-03T08:40,-1,121.83000000000175
93570,93776,2018-05-16T08:25,2018-05-21T11:20,-1,-68.44000000000233
94937,95024,2018-06-19T08:25,2018-06-20T10:55,-1,154.22999999999593
95222,95256,2018-06-26T08:25,2018-06-26T11:15,-1,-664.5800000000017
95293,95507,2018-06-27T09:35,2018-07-03T08:25,-1,1230.229999999996
96133,96246,2018-07-18T08:25,2018-07-19T13:05,-1,125.84999999999127
97273,97301,2018-08-15T08:25,2018-08-15T10:45,-1,1217.3800000000047
99723,99837,2018-10-15T08:25,2018-10-17T08:25,1,-461.00999999999476
100464,100795,2018-11-01T08:25,2018-11-08T12:15,1,594.9499999999971
101835,101887,2018-12-05T08:45,2018-12-05T13:05,-1,-481.84000000001106
101895,101961,2018-12-06T09:00,2018-12-07T09:45,-1,-387.5
102019,102116,2018-12-10T09:50,2018-12-12T08:25,-1,-474.41999999999825
102993,103659,2019-01-04T10:15,2019-01-22T08:50,1,-772.7200000000012
104143,104452,2019-02-01T11:10,2019-02-11T08:25,1,-2062.0
104507,104807,2019-02-11T13:00,2019-02-19T09:35,-1,-1642.1600000000035
104964,105323,2019-02-22T08:25,2019-03-04T09:50,1,-14.760000000009313
106617,106703,2019-04-04T08:25,2019-04-05T10:50,1,838.320000000007
